=== Phase 0実装後翻訳エラーテスト: 2025年 8月 15日 金曜日 22:32:09     ===
2025-08-15 23:36:12.172 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=言語ペア auto-en はサポートされていません
2025-08-16 21:22:04.885 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:22:04.885 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:22:04.948 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:22:05.381 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:22:05.381 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:22:05.381 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:22:05.396 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:22:05.412 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:22:05.412 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:22:05.443 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:22:05.914 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:22:05.919 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:22:05.930 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:12.197 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:12.197 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:12.229 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:12.231 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:12.248 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:12.248 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:12.274 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:12.380 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:12.380 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:12.380 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:12.380 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:12.411 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:12.446 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:12.453 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:12.455 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:12.457 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:12.462 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:12.462 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:12.495 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:12.890 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:12.890 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:12.890 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:12.890 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:12.891 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:12.893 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:12.893 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:12.891 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:12.896 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:12.893 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:12.894 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:13.065 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:13.108 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:13.110 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:13.107 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:47.401 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:47.407 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:47.408 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:47.414 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:47.414 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:47.414 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:47.421 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:47.448 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:47.450 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:47.451 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:47.478 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:47.478 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:47.488 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:47.508 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:47.524 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:47.544 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:47.572 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:47.606 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:47.635 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:23:47.635 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:29:25.027 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:29:25.029 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:29:25.029 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:29:25.038 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:29:25.040 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:29:25.046 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:29:25.063 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:29:25.066 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:29:25.068 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:29:25.068 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:29:25.092 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:29:25.139 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:29:25.154 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:29:25.170 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:29:25.170 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:29:25.212 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:29:25.605 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:29:25.640 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:32:03.780 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:32:03.810 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:32:03.810 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:32:03.810 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:32:03.824 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:32:03.840 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:32:03.857 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:32:03.873 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:32:03.889 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:32:03.889 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:32:03.920 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:32:03.936 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:32:03.999 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:32:04.299 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:37:11.933 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:37:11.933 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:37:11.933 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:37:11.960 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:37:11.960 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:37:11.960 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:37:11.970 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:37:11.970 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:37:11.970 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:37:11.975 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:37:11.975 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:37:12.007 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:37:12.022 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:37:12.036 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:37:12.052 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:37:12.052 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 21:37:12.098 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 22:07:42.614 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 22:07:42.614 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 22:07:42.644 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 22:07:42.651 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 22:07:42.653 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 22:07:42.658 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 22:07:42.661 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 22:07:42.662 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 22:07:42.662 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 22:07:42.662 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 22:07:42.674 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 22:07:42.702 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 22:07:42.708 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 22:07:43.209 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 22:07:43.209 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 22:07:43.211 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 22:07:43.235 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 22:07:43.742 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 22:11:27.102 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 22:11:27.113 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 22:11:27.113 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 22:11:27.124 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 22:11:27.162 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 22:11:27.165 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 22:11:27.169 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 22:11:27.177 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 22:11:27.178 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 22:11:27.212 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 22:11:27.214 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 22:11:27.219 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 22:11:27.222 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 22:11:27.223 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 22:11:27.235 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 22:11:27.255 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 22:11:27.318 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
2025-08-16 22:11:27.700 エラー詳細: IsSuccess=False, Error=null, ErrorType=, TranslatedText=翻訳タイムアウト（サーバー応答なし）
